0,1,2,3,4
ﻼﻋﻻﻭﺓ ﻼﻔﻨﻳﺓ,,ﻼﺨﺑﺭﺓ ﻼﻌﻤﻠﻳﺓ ﺎﻤﻠﻄﻟﻮﺑﺓ,ﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ ﺎﻤﻠﻄﻟﻮﺑ,"ﺎﻤﻠﺴﻤﯨ ﻻﻮﻈﻴﻔﻳ ﺢﺴﺑ ﺖﻘﻴﻴﻣ
ﻼﺠﻫﺓ ﻼﻄﺒﻳﺓ ﺎﻤﻠﺨﺘﺻﺓ"
ﻎﻳﺭ ﻡﻭﺎﻄﻧ,ﻡﻭﺎﻄﻧ,-,-,ﻂﺒﻴﺑ ﺎﺴﺘﺷﺍﺮﻳ ﺃ
"16,214","22,400","ﻊﺷﺭ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﺎﻤﻟﺎﺠﺴﺘﻳﺭ","ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ +
ﺪﻜﺗﻭﺭﺎﻫ ﻒﻳ ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﻉﻼﻣ ﺱﺮﻳﺮﻳ
,,"ﻊﺷﺭ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﺎﻤﻟﺎﺠﺴﺘﻳﺭ","ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﻡﺆﻬﻟ ﻉﻼﻳ 
)ﻡﺎﺠﺴﻴﺗﺭ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ(",ﺺﻳﺪﻠﻳ ﺱﺮﻳﺮﻳ
,,"ﻊﺷﺭ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﺎﻤﻟﺎﺠﺴﺘﻳﺭ","ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﻴﺗﺭ
+ ﺪﻜﺗﻭﺭﺎﻫ  ﻒﻳ ﻢﺟﻻ 
ﻼﺘﺨﺼﺻ",ﺄﺨﺻﺎﺌﻳ ﻊﻠﻣ ﻼﻨﻔﺳ
,,-,-,ﻂﺒﻴﺑ ﺎﺴﺘﺷﺍﺮﻳ ﺏ
"14,014","20,400","ﺦﻤﺳ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﻻﺪﻜﺗﻭﺭﺎﻫ","ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ +
ﺪﻜﺗﻭﺭﺎﻫ ﻒﻳ ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﻉﻼﻣ ﺱﺮﻳﺮﻳ
,,"ﺦﻤﺳ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﻻﺪﻜﺗﻭﺭﺎﻫ","ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﻡﺆﻬﻟ ﻉﻼﻳ 
)ﻡﺎﺠﺴﻴﺗﺭ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ(",ﺺﻳﺪﻠﻳ ﺱﺮﻳﺮﻳ
,,"ﺦﻤﺳ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﻻﺪﻜﺗﻭﺭﺎﻫ","ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﻴﺗﺭ
+ ﺪﻜﺗﻭﺭﺎﻫ  ﻒﻳ ﻢﺟﻻ 
ﻼﺘﺨﺼﺻ",ﺄﺨﺻﺎﺌﻳ ﻊﻠﻣ ﻼﻨﻔﺳ
"6,270",,,,ﻂﺒﻴﺑ ﺎﺨﺻﺎﺌﻳ ﺃ
