0,1,2,3,4,5,6,7,8,9
"ﻡﺩﺓ ﻼﺒﻗﺍﺀ ﻒﻳ
ﻼﻔﺋﺓ",ﺍﻺﺟﺍﺯﺓ ﻻﺩﻭﺮﻳﺓ,ﺏﺪﻟ ﺍﻼﻨﺘﻗﻻ,"ﻖﻴﻣﺓ
ﻻﺰﻳﺍﺩﺓ 
ﻼﺴﻧﻮﻳﺓ","ﻼﻋﻻﻭﺓ
ﻼﺘﻜﻤﻴﻠﻳﺓ","ﺎﻤﻠﻛﺎﻓﺂﺗ ﻼﺸﻫﺮﻳﺓ
ﻺﯨ
ﻢﻧ",,"ﺎﻤﻟﺆﻬﻟ
ﻼﻌﻠﻤﻳ","ﻡﺩﺓ ﻼﺨﺑﺭﺓ
ﻼﺣﺩ ﺍﻷﺪﻨﯨ
)ﻼﺴﻧﻭﺎﺗ(",ﻼﻔﺋﺓ
6 ﺲﻧﻭﺎﺗ,45 ﻱﻮﻣ,"1,528",218,-,"12,870
10,914",,ﺪﻜﺗﻭﺭﺎﻫ,14,ﺍﻷﻮﻠﯨ
,,"1,273",182,-,"10,914
9,095",,-,10,ﻼﺛﺎﻨﻳﺓ
,,"1,062",152,-,"9,095
7,579",,ﻡﺎﺠﺴﺘﻳﺭ,8,ﻼﺛﻼﺛﺓ
,,891,127,-,"7,579
6,367",,ﺐﻛﻻﻭﺮﻳﻮﺳ,6,ﻻﺭﺎﺒﻋﺓ
,30 ﻱﻮﻣ,743,106,-,"6,367
5,305",,ﺙﺎﻧﻮﻳﺓ,7,ﻼﺧﺎﻤﺳﺓ
,,615,88,-,"5,305
4,396",,,6,ﻼﺳﺍﺪﺳﺓ
,,509,73,-,"4,396
3,700",,,5,ﻼﺳﺎﺒﻋﺓ
,,629,61,52,"3,638
3,143",,"ﺄﻘﻟ ﻢﻧ
ﻼﺛﺎﻧﻮﻳﺓ",-,ﻼﺛﺎﻤﻧﺓ
,,629,52,151,"3,043
2,714",,,-,ﻼﺗﺎﺴﻋﺓ
,,629,44,250,"2,614
2,285",,,-,ﻼﻋﺎﺷﺭﺓ
,,629,35,349,"2,185
1,856",,,-,"ﻼﺣﺍﺪﻳﺓ
ﻊﺷﺭﺓ"
,,629,30,431,"1,756
1,398",,,-,"ﻼﺛﺎﻨﻳﺓ
ﻊﺷﺭﺓ"
,21 ﻱﻮﻣ,498,-,-,"1,398
1,327",,,-,"ﻼﺛﻼﺛﺓ
ﻊﺷﺭﺓ"
,,443,-,-,"1,327
1,206",,,-,"ﻻﺭﺎﺒﻋﺓ
ﻊﺷﺭﺓ"
