0,1,2,3,4,5
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,"ﺦﺼﻣ ﺦﻤﺳﺓ
ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ 
ﺍﻸﺳﺍ�ﺲﻳ",,"12-  ﺇﺪﺨــﻻ  ﻢﻨﺸــﻭﺭﺎﺗ  ﺃﻭ  ﻢﻄﺑﻮﻌــﺎﺗ  ﻮﺗﻭﺰﻴﻌﻬــﺍ  ﺃﻭ
ﻚﺗﺎﺒــﺓ ﺐﻳﺎﻨــﺎﺗ ﺃﻭ ﻞﺼــﻗ ﺈﻋﻼﻨــﺎﺗ ﻊﻠــﯨ ﻼﺠــﺩﺭﺎﻧ ﺃﻭ 
ﻊﻘــﺩ ﺎﺠﺘﻣﺎﻌــﺎﺗ ﺃﻭ ﻊﻤــﻟ ﺪﻋﺎﻴــﺓ ﺐــﺩﻮﻧ ﺇﺬﻧ."
"ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ
ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ 
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,,"ﺦﺼﻣ ﺦﻤﺳﺓ
ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ 
ﺍﻸﺳﺍ�ﺲﻳ",,"13- ﻦﻘــﻟ ﺃﻭﺭﺎﻗ ﺃﻭ ﻢﺴــﺘﻧﺩﺎﺗ ﺥﺎﺼــﺓ ﺏﻼﻌﻤــﻟ ﺃﻭ ﺄﻳ
ﺄﺸــﻳﺍﺀ ﺄﺨــﺮﯨ ﻢــﻧ ﻢﻤﺘﻠــﻛﺎﺗ ﻼﺠﻬــﺓ ﻼﺤﻛﻮﻤﻴــﺓ ﺦــﺍﺮﺟ 
ﻢﻘــﺭ ﻼﻌﻤــﻟ ﺐــﺩﻮﻧ ﺇﺬﻧ."
ﻢﻋ ﺎﺴﺘﻋﺍﺩﺓ ﻡﺍ ﺖﻣ ﻦﻘﻠﻫ ﻢﻧ ﺞﻫﺓ ﻼﻌﻤﻟ,,,,,
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","ﺦﺼﻣ ﺦﻤﺳﺓ
ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ 
ﺍﻸﺳﺍ�ﺲﻳ",,"ﺍ
14- ﻼﺗﺄﺨﻴــﺭ ﻒــﻳ ﺕﻭﺮﻴــﺩ ﻼﻨﻘــﻭﺩ ﺃﻭ ﺖﺴــﻠﻴﻣ ﺎﻤﻠﺴــﺘﻧﺩﺎﺗ 
 
ﺐﺤﻜــﻣ  ﻊﻤﻠــﻫ  ﺩﻮﻧ  ﻢﺒــﺭﺭ  ﺥﻼﻔــ
ﻺﻴــﻫ 
ﺎﻤﻠﺴــﻠﻣﺓ 
ﻞﻠﺘﻌﻠﻴﻤــﺎﺗ  ﻼﺼــﺍﺩﺭﺓ  ﻒــﻳ  ﻪــﺫﺍ  ﻼﺸــﺄﻧ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","ﺦﺼﻣ ﺦﻤﺳﺓ
ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ 
ﺍﻸﺳﺍ�ﺲﻳ",,"15- ﻦﺸــﺭ ﺄﻴــﺓ ﺐﻳﺎﻨــﺎﺗ ﻊــﻧ ﻼﻌﻤــﻟ ﺐــﺩﻮﻧ ﺇﺬﻧ ﻒــﻳ ﺄﺤــﺩ
ﻮﺴــﺎﺌﻟ ﻼﻨﺸــﺭ ﻭ ﻻﺪﻋﺎﻴــﺓ ﻢــﻧ  ﺺﺤــﻓ ﻮﻐﻳﺮﻬــﺍ ﻢــﻧ 
ﻮﺴــﺎﺌﻟ ﻼﺗﻭﺎﺼــﻟ ﺍﻼﺠﺘﻣﺎﻌــﻳ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,"ﻻ
ﻼﺤﻛﻮﻤﻴــﺓ 
ﻼﺠﻬــﺓ 
ﻼﺴــﻣﺎﺣ  ﻸﻳ  ﻢــﻧ  ﺦــﺍﺮﺟ 
16- 
  ﻢــﻧ  ﻼﺸــﺨﺻ  ﺎﻤﻠﻜﻠــﻓ  ﺐــﻫ.
ﺏﻼﻘﻴــﺎﻣ  ﺏﻼﻌﻤــﻟ    ﺐــﺩ"
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,17- ﺖﻌﻣﺩ ﺖﺨﻔﻴﺿ ﺍﻺﻨﺗﺎﺟ ﺃﻭ ﺖﻌﻄﻴﻟ ﻼﻌﻤﻟ.
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,"18-  ﺍﻼﺤﺘﻔــﺎﻇ  ﺐــﺄﻳ  ﻭﺮﻘــﺓ  ﺮﺴــﻤﻳﺓ  ﺃﻭ  ﻥﺰﻌﻬــﺍ  ﻢــﻧ
ﺍﻸﺼــﻟ  ﺐﻘﺼــﺩ  ﺍﻺﻀــﺭﺍﺭ  ﺏﻼﻐﻴــﺭ  ﺃﻭ  ﺐﺠﻬــﺓ  ﻼﻌﻤــﻟ."
"ﺦﺼﻣ ﺦﻤﺳﺓ
ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ 
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ
ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ 
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ
ﺍﻸﺳﺍ�ﺲﻳ",,,,,"19- ﻊــﺪﻣ ﺖﻨﻔﻴــﺫ ﻼﺘﻌﻠﻴﻤــﺎﺗ ﻼﺧﺎﺼــﺓ ﺏﻼﻌﻤــﻟ ﻢﺘــﯨ
ﻙﺎﻨــﺗ ﻢﺒﻠﻐــﺓ ﻞﻠﻣﻮﻈــﻓ ﻚﺗﺎﺒــﺓ، ﺃﻭ ﻙﺎﻨــﺗ ﻢﻌﻠﻨــﺓ ﻒــﻳ 
ﻢــﻛﺎﻧ ﻅﺎﻬــﺭ ﺃﻭ ﺞــﺮﻳ ﻼﻌــﺮﻓ ﺐﻬــﺍ. "
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,"ﺃﻭ
ﺏﻼﻘــﻮﻟ 
ﻼﺠﻧ�ﺲــﻳ 
ﻼﺘﺤــﺮﺷ 
ﺃﻭ 
ﺍﻼﻌﺘــﺩﺍﺀ 
20- 
ﺍ ﻞﻔﻌــﻟ ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,"21- ﻻﺪﻌــﻭﺓ ﺃﻭ ﻼﺘﻫﺪﻴــﺩ ﺃﻭ ﺍﻼﺸــﺗﺭﺎﻛ ﺃﻭ ﻼﺘﺣﺮﻴــﺿ
ﻊﻠــﯨ ﺍﻺﻀــﺭﺎﺑ ﺏﺎﻤﻠﺧﻼﻔــﺓ ﻸﺤــﻛﺎﻣ ﻼﻗﻭﺎﻨﻴــﻧ ﻭﻼﻟﻭﺎﺌــﺣ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,"22-  ﺎﻨﺘﺤــﻻ  ﺶــﺨﺼﻳﺓ  ﻎﻴــﺮﻫ  ﻞﻟﺪﺨــﻮﻟ  ﻒــﻳ  ﺍﻸﻣﺎﻜــﻧ
ﻎﻴــﺭ ﺎﻤﻠﺼــﺮﺣ ﺐﻬــﺍ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,23- ﻼﺳﺮﻗﺓ ﺃﻭ ﺍﻼﺨﺗﻼﺳ.
"ﺍ
ﺦﺼﻣ ﺦﻤﺳﺓ 
 ﻢﻧ 
ﺦﺼﻣ ﺦﻤﺳﺓ ﻊﺷﺭ ﻱﻮﻣ
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ
ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ 
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ
ﺍﻸﺳﺍ�ﺲﻳ",,,,,"ﺍ
 ﺃﻭ ﻡﺍ ﻱﺰﻳﺩ ﻊﻧ ﺎﻤﻠﺴﺘﺤﻗ 
24- ﺄﺧﺫ ﻡﺍ ﻞﻴﺳ ﻢﺴﺘﺤﻗ
ﻢــﻧ ﺦــﻼﻟ ﻊﻤﻠــﻫ ﻒــﻳ ﺖﺤﺼﻴــﻟ ﻻﺮﺴــﻮﻣ ﺃﻭ ﻼﻏﺭﺎﻤــﺎﺗ 
ﺃﻭ ﻼﻋﻭﺎﺌــﺩ ﺃﻭ ﻼﺿﺭﺎﺌــﺑ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,"ﻎﻴــﺭ
ﻭﺍﻼﻌﺘﺻﺎﻤــﺎﺗ 
ﻼﺘﺠﻤﻌــﺎﺗ 
ﺖﻨﻈﻴــﻣ 
25- 
ﺎﻤﻟﺮﺨﺼــﺓ ﺃﻭ ﻎﻴــﺭ ﺎﻤﻠﺼــﺮﺣ ﺐﻬــﺍ ﺃﻭ ﺍﻼﺸــﺗﺭﺎﻛ ﺃﻭ ﻻﺪﻌــﻭﺓ 
ﻺــﯨ  ﺍﻼﺸــﺗﺭﺎﻛ  ﺃﻭ  ﻼﺘﺣﺮﻴــﺿ  ﻊﻠــﯨ  ﺬﻠــﻛ."
"ﺍ
 ﻢﻧ ﻻﺭﺎﺘﺑ 
ﺦﺼﻣ ﺦﻤﺳﺓ ﻊﺷﺭ ﻱﻮﻣ
ﺍﻸﺳﺍ�ﺲﻳ","ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ
ﺍﻸﺳﺍ�ﺲﻳ",,,"ﺦﺼﻣ ﺦﻤﺳﺓ
ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ 
ﺍﻸﺳﺍ�ﺲﻳ","26-  ﺎﺴــﺘﺧﺩﺎﻣ  ﻢﻌــﺩﺎﺗ  ﻼﺣﺎﺴــﻮﺑ  ﻺﻨﺘــﺎﺟ  ﺄﻌﻤــﻻ
ﺶــﺨﺼﻳﺓ ﺃﻭ ﺏﺭﺎﻤــﺟ ﺥﺎﺼــﺓ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ
ﺍﻸﺳﺍ�ﺲﻳ",,,"ﺦﺼﻣ ﺦﻤﺳﺓ
ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ 
ﺍﻸﺳﺍ�ﺲﻳ","27- ﺎﺴــﺘﺧﺩﺎﻣ ﻼﺣﺎﺴــﺑ ﺍﻶﻠــﻳ ﻼﺸــﺧ�ﺲﻳ ﻼﺨــﺎﺻ
ﻼﺤﻛﻮﻤﻴــﺓ 
ﺏﻼﺠﻬــﺎﺗ 
ﺎﻤﻠﺘﻌﻠﻘــﺓ 
ﻼﺒﻳﺎﻨــﺎﺗ 
ﻢﻠﻋﻼﺠــﺓ 
ﺐــﺩﻮﻧ  ﺖﺻﺮﻴــﺣ."
