ﻣﻘﺮﻻ,)ﺝ/١( ﻣﻘﺮ ﻗﺤﻠﻤﻼ,ﺓﺣﻔﺼﻼ ﻣﻘﺮ
١,ﻟﻤﻌﻼ ﺓﺭﺷﺎﺑﻢ ﻧﺄﺷﺐ )1( ﻣﻘﺮ ﺭﺍﺭﻗﺄ ﺟﺬﻭﻣﻦ,84
٢,ﺓﻓﻴﻈﻮﻻ ﻟﻮﺑﻖ ﻧﺄﺷﺐ )2( ﻣﻘﺮ ﺭﺍﺭﻗﺄ ﺟﺬﻭﻣﻦ,85
3,ﺩﻋﺎﻗﺖ ﺷﺎﻋﻢ ﻳﻀﺎﻗﺖ ﻣﺪﻉ ﻧﺄﺷﺐ )3( ﻣﻘﺮ ﺭﺍﺭﻗﺄ ﺟﺬﻭﻣﻦ,86
4,ﺓﻳﻌﺎﻣﺘﺠﻼﺍ ﺓﻻﺣﻼ ﻧﺄﺷﺐ )4( ﻣﻘﺮ ﺭﺍﺭﻗﺄ,87
٥,ﻳﺤﺼﻼ ﻧﻴﻤﺄﺗﻼ ﺩﻫﻌﺖ ﻧﺄﺷﺐ )5( ﻣﻘﺮ ﺟﺬﻭﻣﻦ,88
٦,ﻫﻴﻠﻊ ﻧﻤﺆﻣﻼ ﺓﻣﺪﺥ ﺀﺩﺏ ﺓﺭﺍﻣﺘﺴﺎ ﻧﺄﺷﺐ )6( ﻣﻘﺮ ﺟﺬﻭﻣﻦ,90
7,ﻧﻴﻴﻌﺘﻠﻞ ﺣﻴﺸﺮﺗﻼ ﺓﻻﺳﺮ / ﻧﻴﻴﻌﺘﻼ ﺓﻻﺳﺮ ﻧﺄﺷﺐ )7( ﻣﻘﺮ ﺟﺬﻭﻣﻦ,91
8,ﺭﺍﺑﺘﺨﻼﺍ ﺓﺭﺗﻔﺐ ﺻﺎﺧﻼ ﻳﺮﻫﺸﻼ ﺓﺀﺍﻓﻜﻼ ﺭﻳﺮﻗﺖ ﻧﺄﺷﺐ )8( ﻣﻘﺮ ﺟﺬﻭﻣﻦ,92
9,ﺭﺍﺑﺘﺨﻼﺍ ﺓﺭﺗﻔﺐ ﺻﺎﺧﻼ ﻳﺮﻫﺸﻼ ﺓﺀﺍﻓﻜﻼ ﺭﻳﺮﻗﺖ ﻧﺄﺷﺐ )ﺃ/8( ﻣﻘﺮ ﺟﺬﻭﻣﻦ,94
١٠,ﺍﻫﺠﺮﺍﺥ ﻭﺃ ﺓﻟﻮﺩﻻ ﻟﺨﺎﺩ ﺓﻳﺒﻴﺮﺩﺗﻼ ﺗﺎﺭﻭﺩﻻ ﻧﺄﺷﺐ )9( ﻣﻘﺮ ﺩﻫﻌﺘﻼ ﺟﺬﻭﻣﻦ,96
١١,ﺓﺯﺍﺟﺈ ﺑﻠﻂ ﻧﺄﺷﺐ )10( ﻣﻘﺮ ﺓﺭﺍﻣﺘﺴﺎ ﺟﺬﻭﻣﻦ,97
١٢,ﺓﻟﻮﺩﻻ ﻟﺨﺎﺩ ﺿﻴﺮﻡ ﻗﻔﺎﺭﻡ ﺓﺯﺍﺟﺈ ﺑﻠﻂ ﻧﺄﺷﺐ )11( ﻣﻘﺮ ﺟﺬﻭﻣﻦ,98
١3,"ﺗﺎﺳﺎﺭﺩﻻ ﺓﻋﺒﺎﺗﻤﻞ ﻳﻠﻜﻼ ﻏﺮﻓﺘﻼ ﺓﺯﺍﺟﺈ ﻧﺄﺷﺐ )ﺃ-12( ﻣﻘﺮ ﺩﻫﻌﺘﻼ ﺟﺬﻭﻣﻦ
ﺓﻟﻮﺩﻻ ﺟﺮﺍﺥ ﺍﻳﻠﻌﻼ",99
