الرقم,الملحق رقم )١/ج(,رقم الصفحة
١,نموذج أقرار رقم )1( بشأن مباشرة العمل,84
٢,نموذج أقرار رقم )2( بشأن قبول الوظيفة,85
3,نموذج أقرار رقم )3( بشأن عدم تقاضي معاش تقاعد,86
4,أقرار رقم )4( بشأن الحالة االجتماعية,87
٥,نموذج رقم )5( بشأن تعهد التأمين الصحي,88
٦,نموذج رقم )6( بشأن استمارة بدء خدمة المؤمن عليه,90
7,نموذج رقم )7( بشأن رسالة التعيين / رسالة الترشيح للتعيين,91
8,نموذج رقم )8( بشأن تقرير الكفاءة الشهري الخاص بفترة االختبار,92
9,نموذج رقم )8/أ( بشأن تقرير الكفاءة الشهري الخاص بفترة االختبار,94
١٠,نموذج التعهد رقم )9( بشأن الدورات التدريبية داخل الدولة أو خارجها,96
١١,نموذج استمارة رقم )10( بشأن طلب إجازة,97
١٢,نموذج رقم )11( بشأن طلب إجازة مرافق مريض داخل الدولة,98
١3,"نموذج التعهد رقم )12-أ( بشأن إجازة التفرغ الكلي لمتابعة الدراسات
العليا خارج الدولة",99
١4,"نموذج التعهد رقم )12-ب( بشأن إجازة التفرغ الجزئي لمتابعة الدراسات
العليا خارج الدولة",100
١٥,"نموذج استمارة رقم )13( بشأن التظلم أو الشكوى للجنة التظلمات في
الجهة الحكومية",101
١٦,"نموذج استمارة رقم )14( بشأن التظلم أو الشكوى للجنة العليا للموارد
البشرية",102
١7,نموذج رقم )15( بشأن مقابلة نهاية الخدمة,103
١8,نموذج رقم )16( بشأن استمارة إنتهاء خدمة المؤمن عليه,106
١9,نموذج رقم )17( بشأن اليمين القانونية لموظفي الحكومة,107
