الرقم,الملحق رقم )١/ب(,رقم الصفحة
١,نموذج عقد رقم )1( بشأن توظيف مواطن,36
٢,نموذج عقد رقم )2( بشأن تنظيم عالقة وظيفية قائمة مع مواطن,39
3,نموذج عقد محلي )أ( رقم )3( لغير المواطنين,42
4,نموذج عقد محلي )ب( رقم )4( لغير المواطنين,45
٥,نموذج عقد رقم )5( بشأن توظيف )مهندسين(,48
٦,نموذج عقد رقم )6( بشأن تنظيم عالقة وظيفية قائمة مع مهندس مواطن,51
7,نموذج عقد رقم )7( بشأن توظيف )األئمة والمؤذنين المواطنين(,45
8,"نموذج عقد رقم )8( بشأن تنظيم عالقة وظيفية قائمة مع أمام أو مؤذن
مواطن",57
9,نموذج عقد رقم )9( بشأن توظيف )األئمة والمؤذنين غير المواطنين(,60
١٠,"نموذج عقد رقم )10( بشأن توظيف )األطباء والصيادلة وفنيي الطب
المواطنين(",63
١١,نموذج عقد رقم )11( بشأن تنظيم عالقة وظيفية قائمة مع مواطن,66
١٢,"نموذج عقد رقم )12( بشأن توظيف )األطباء والصيادلة وفنيي الطب غير
المواطنين(",69
١3,نموذج عقد رقم )13( بشأن نظام العقد الخاص ) أ ( مواطنين,72
١4,نموذج عقد رقم )14( بشأن نظام العقد الخاص ) ب ( غير مواطنين,74
١٥,"نموذج العقد رقم )15( بشأن استخدام غير المواطنين العاملين بنظام المكافأة
الشهرية",76
١٦,نموذج العقد رقم )16( بشأن التعيين بعقد مؤقت ) أ (,78
١7,نموذج العقد رقم )17( بشأن التعيين بعقد مؤقت )ب(,80
١8,نموذج العقد رقم )18( بشأن التعيين بعقد مؤقت )ب( خاص بالمتقاعدين,82
