ﻻﺩﺮﺟﺓ,ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ,"ﻖﻴﻣﺓ ﻼﻋﻻﻭﺓ
ﻻﺩﻭﺮﻳﺓ",ﺏﺪﻟ ﻼﺴﻜﻧ,ﻍﻻﺀ ﺎﻤﻠﻌﻴﺷﺓ,ﺏﺪﻟ ﺍﻼﻨﺘﻗﻻ,"ﻼﺣﺩ ﺍﻷﺪﻨﯨ ﻞﻠﺒﻗﺍﺀ ﻒﻳ
ﻻﺩﺮﺟﺓ"
ﺍﻷﻮﻠﯨ,"14,837",300,"ﺏﺰﻋﻸﻟ ﺝﻭﺰﺘﻤﻠﻟ
04% 06%
ﺪﺤﺑ ﺪﺤﺑ
ﻰﺳ�ﻕﺃ ﻰﺳ�ﻕﺃ
520.3 058.3
ﺎﻤﻫﺭﺩ ﻢﻫﺭﺩ
ﺪﺤﺑﻭ  ﺪﺤﺑﻭ
ﻰﻧﺩﺃ ﻰﻧﺩﺃ
066 088
ﻢﻫﺭﺩ ﻢﻫﺭﺩ","ﺪﺤﺑ(%02)
ﻰﺳ�ﻕﺃ
099
ﻢﻫﺭﺩ
ﺪﺤﺑﻭ
ﻰﻧﺩﺃ
044
ﻢﻫﺭﺩ","5,193",6 ﺲﻧﻭﺎﺗ
ﻼﺛﺎﻨﻳﺓ,"12,911",300,,,"4,519",
ﻼﺛﻼﺛﺓ,"10,023",250,,,"3,508",
ﻻﺭﺎﺒﻋﺓ,"8,096",250,,,"2,834",
ﻼﺧﺎﻤﺳﺓ,"6,749",160,,,"2,362",
ﻼﺳﺍﺪﺳﺓ,"5,467",160,,,"1,914",
ﻼﺳﺎﺒﻋﺓ,"4,395",120,,,"1,978",
ﻼﺛﺎﻤﻧﺓ,"3,691",100,,,"1,661",
ﻼﺗﺎﺴﻋﺓ,"2,987",100,,,"1,344",
ﻼﻋﺎﺷﺭﺓ,"2,459",80,,,"1,107",
ﻼﺣﺍﺪﻳﺓ ﻊﺷﺭﺓ,"2,373",80,,,"1,068",
ﻼﺛﺎﻨﻳﺓ ﻊﺷﺭﺓ,"2,104",80,,,947,
ﻼﺛﻼﺛﺓ ﻊﺷﺭﺓ,"1,744",70,,,784,
ﻻﺭﺎﺒﻋﺓ ﻊﺷﺭﺓ,"1,474",70,,,663,
