ﺓﺟﺮﺩﻻ,ﻳﺲ�ﺍﺳﻸﺍ ﺑﺘﺎﺭﻻ,"ﺓﻭﻻﻋﻼ ﺓﻣﻴﻖ
ﺓﻳﺮﻭﺩﻻ",ﻧﻜﺴﻼ ﻟﺪﺏ,ﺓﺷﻴﻌﻠﻤﺎ ﺀﻻﻍ,ﻻﻗﺘﻨﻼﺍ ﻟﺪﺏ,"ﻳﻒ ﺀﺍﻗﺒﻠﻞ ﯨﻨﺪﻷﺍ ﺩﺣﻼ
ﺓﺟﺮﺩﻻ"
ﯨﻠﻮﻷﺍ,"14,837",300,"ﻟﻠﻤﺘﺰﻭﺝ ﻟﻸﻋﺰﺏ
%06 %04
ﺑﺤﺪ ﺑﺤﺪ
ﺃﻕ�ﺳﻰ ﺃﻕ�ﺳﻰ
058.3 520.3
ﺩﺭﻫﻢ ﺩﺭﻫﻤﺎ
ﻭﺑﺤﺪ  ﻭﺑﺤﺪ
ﺃﺩﻧﻰ ﺃﺩﻧﻰ
088 066
ﺩﺭﻫﻢ ﺩﺭﻫﻢ","(%02)ﺑﺤﺪ
ﺃﻕ�ﺳﻰ
099
ﺩﺭﻫﻢ
ﻭﺑﺤﺪ
ﺃﺩﻧﻰ
044
ﺩﺭﻫﻢ","5,193",ﺗﺎﻭﻧﺲ 6
ﺓﻳﻨﺎﺛﻼ,"12,911",300,,,"4,519",
ﺓﺛﻼﺛﻼ,"10,023",250,,,"3,508",
ﺓﻋﺒﺎﺭﻻ,"8,096",250,,,"2,834",
ﺓﺳﻤﺎﺧﻼ,"6,749",160,,,"2,362",
ﺓﺳﺪﺍﺳﻼ,"5,467",160,,,"1,914",
ﺓﻋﺒﺎﺳﻼ,"4,395",120,,,"1,978",
ﺓﻧﻤﺎﺛﻼ,"3,691",100,,,"1,661",
ﺓﻋﺴﺎﺗﻼ,"2,987",100,,,"1,344",
ﺓﺭﺷﺎﻋﻼ,"2,459",80,,,"1,107",
ﺓﺭﺷﻊ ﺓﻳﺪﺍﺣﻼ,"2,373",80,,,"1,068",
ﺓﺭﺷﻊ ﺓﻳﻨﺎﺛﻼ,"2,104",80,,,947,
ﺓﺭﺷﻊ ﺓﺛﻼﺛﻼ,"1,744",70,,,784,
ﺓﺭﺷﻊ ﺓﻋﺒﺎﺭﻻ,"1,474",70,,,663,
