الدرجة,الراتب األسا�سي,"قيمة العالوة
الدورية",بدل السكن,غالء املعيشة,بدل االنتقال,"الحد األدنى للبقاء في
الدرجة"
األولى,"14,837",300,"بزعألل جوزتملل
04% 06%
دحب دحب
ىس�قأ ىس�قأ
520.3 058.3
امهرد مهرد
دحبو ً دحبو
ىندأ ىندأ
066 088
مهرد مهرد","دحب(%02)
ىس�قأ
099
مهرد
دحبو
ىندأ
044
مهرد","5,193",6 سنوات
الثانية,"12,911",300,,,"4,519",
الثالثة,"10,023",250,,,"3,508",
الرابعة,"8,096",250,,,"2,834",
الخامسة,"6,749",160,,,"2,362",
السادسة,"5,467",160,,,"1,914",
السابعة,"4,395",120,,,"1,978",
الثامنة,"3,691",100,,,"1,661",
التاسعة,"2,987",100,,,"1,344",
العاشرة,"2,459",80,,,"1,107",
الحادية عشرة,"2,373",80,,,"1,068",
الثانية عشرة,"2,104",80,,,947,
الثالثة عشرة,"1,744",70,,,784,
الرابعة عشرة,"1,474",70,,,663,
