ةجردلا,يس�اسلأا بتارلا,"ةولاعلا ةميق
ةيرودلا",نكسلا لدب,ةشيعلما ءلاغ,لاقتنلاا لدب,"يف ءاقبلل ىندلأا دحلا
ةجردلا"
ىلولأا,"14,837",300,"للمتزوج للأعزب
%06 %04
بحد بحد
أق�سى أق�سى
058.3 520.3
درهم درهما
وبحد ً وبحد
أدنى أدنى
088 066
درهم درهم","(%02)بحد
أق�سى
099
درهم
وبحد
أدنى
044
درهم","5,193",تاونس 6
ةيناثلا,"12,911",300,,,"4,519",
ةثلاثلا,"10,023",250,,,"3,508",
ةعبارلا,"8,096",250,,,"2,834",
ةسماخلا,"6,749",160,,,"2,362",
ةسداسلا,"5,467",160,,,"1,914",
ةعباسلا,"4,395",120,,,"1,978",
ةنماثلا,"3,691",100,,,"1,661",
ةعساتلا,"2,987",100,,,"1,344",
ةرشاعلا,"2,459",80,,,"1,107",
ةرشع ةيداحلا,"2,373",80,,,"1,068",
ةرشع ةيناثلا,"2,104",80,,,947,
ةرشع ةثلاثلا,"1,744",70,,,784,
ةرشع ةعبارلا,"1,474",70,,,663,
