,,,,,"التعيين: وفق سنوات الخبرة واملؤهل العلمي
الترقيات الوظيفية : وفق املؤهل العلمي",,
الدرجة,املؤهل العلمي,دكتوراه,ماجستير,بكالوريوس,"شهادة الدبلوم
ثالث سنوات
أو سنتين","دبلوم سنة
واحدة
والثانوية
العامة","دون الثانوية
العامة"
األولى,")دكتوراه أو ماجستير( أو
بكالوريوس أو ما يعادله.",)12(,)18(,)18(,"ةيفيظولاةيقرتلا
ال
متي
الو نييعتلا","الو
ةيفيظولاةيقرتلا ال
متي
نييعتلا","الو
ةيفيظولاةيقرتلا ال
متي
نييعتلا"
الثانية,")دكتوراه أو ماجستير( أو
بكالوريوس أو ما يعادله.",)6(,)12(,)12(,,,
الثالثة,")دكتوراه أو ماجستير( أو
بكالوريوس أو ما يعادله.",-,)6(,)6(,")18( بالنسبة
للحاصلين على شهادة
الدبلوم سنتين
)12( بالنسبة
للحاصلين على شهادة
الدبلوم ثالث سنوات",,
,,,,التعيين حسب املؤهل العلمي,,,
الرابعة,")دكتوراه في غير مجال
التخصص( أو الحاصل
ماجستير أو البكالوريوس أو ما
يعادله وبدون خبرة.",,,"نييعتلا
ىلع
تاجردلا
اقبط
لهؤملل ً
نودب
تاونس
ةربخ",")12( بالنسبة
للحاصلين على شهادة
الدبلوم سنتين
)6( بالنسبة للحاصلين
على شهادة الدبلوم
ثالث سنوات",)18(,
الخامسة,"الحاصل على الدبلوم أو
مايعادله والذي تبلغ مدته
الدراسية ثالث سنوات بعد
الصف الثاني عشر.",,,,")6( بالنسبة للحاصلين
على شهادة الدبلوم
سنتين",)12(,)18(
السادسة,"الحاصل على الدبلوم أو
ما يعادله والذي تبلغ مدته
الدراسية سنتين بعد الصف
الثاني عشر.",,,,-,)6(,)12(
السابعة,"الحاصل على الدبلوم أو
ما يعادله والذي تبلغ مدته
الدراسية سنة واحدة بعد
الصف الثاني عشر وحملة
الصف الثاني عشر )الثانوية
العامة( أو مايعادلها.",,,,-,-,)6(
الثامنة,"الصف الحادي عشر من
املرحلة الثانوية",,,,-,-,-
