الفئة,مدة الخبرة,"املؤهل
العلمي",,املكافآت الشهرية,"العالوة
التكميلية","قيمة
الزيا دة
السنوية",بدل ا النتقال,ا إلجا زة الدورية,"مدة البقاء في
الفئة"
,"الحد ا ألدنى
)السنوات(",,من,إلى,,,,,
ا ألولى,14,دكتوراه,"10,914","12,870",-,218,"1,528",45 يوم,6 سنوات
الثانية,10,-,"9,095","10,914",-,182,"1,273",,
الثالثة,8,ماجستير,"7,579","9,095",-,152,"1,062",,
الرابعة,6,بكالوريوس,"6,367","7,579",-,127,891,,
الخامسة,7,ثانوية,"5,305","6,367",-,106,743,30 يوم,
السا دسة,6,,"4,396","5,305",-,88,615,,
السابعة,5,,"3,700","4,396",-,73,509,,
الثامنة,-,"أقل من
الثانوية","3,143","3,638",52,61,629,,
التاسعة,-,,"2,714","3,043",151,52,629,,
العاشرة,-,,"2,285","2,614",250,44,629,,
"الحا دية
عشرة",-,,"1,856","2,185",349,35,629,,
"الثانية
عشرة",-,,"1,398","1,756",431,30,629,,
"الثالثة
عشرة",-,,"1,327","1,398",-,-,498,21 يوم,
"الرابعة
عشرة",-,,"1,206","1,327",-,-,443,,
