,,,املجموعة الثالثة
,,,ب. مخالفات تتعلق بنظام العمل
نوع املخالفة,,,درجات الجزاء
,أ ول مرة,ثاني مرة,ثالث مرة
"1- وجــود عجــز فــي العهــدة بقصــد متعمــد مــن
املوظــف .","خصم خمسة
ً
عشر يوما من
الراتب ا ألسا�سي",,إحالة إلى لجنة ا النضباط الوظيفي
,,,مع توريد قيمة العجز في جميع ا ألحوال
"2- اســتغالل الوظيفــة فــي الحصــول علــى مصلحــة
بالــذات أ و بالواســطة فــي أعمــال أ و مقــا والت تتصــل
بعملــه.","خصم خمسة
أيام من الراتب
ا ألسا�سي","الوقف عن العمل ملدة
ً
15 يوما بدون راتب
شامل",إحالة إلى لجنة ا النضباط الوظيفي
"3- إطــالع املســتفيدين أ و غيــر املــأ ذون لهــم علــى
املســتندات بالجهــة الحكوميــة.","خصم خمسة
أيام من الراتب
ا ألسا�سي","خصم خمسة عشر
ً
يوما من الراتب
ا ألسا�سي","الوقف عن العمل ملدة شهرين بدون راتب
شامل"
4- إفشاء ا ألسرا ر املتعلقة بالعمل.,"خصم خمسة
ً
عشر يوما من
الراتب ا ألسا�سي",,إحالة إلى لجنة ا النضباط الوظيفي
"5- عــدم إخطــا ر الرئيــس املباشــر كتابــة عــن أي
عجــز بأمــوال الجهــة الحكوميــة
وممتلكاتهــا بمجــرد اكتشــافه أ و التســتر علــى
املخالفــات املتعلقــة بالعمــل.","خصم خمسة
ً
عشر يوما من
الراتب ا ألسا�سي","الوقف عن العمل ملدة
شهر بدون راتب شامل
أ و الحرمان من العالوة
الدورية",إحالة إلى لجنة ا النضباط الوظيفي
"6- إخطــا ر الجهــة الحكوميــة ببيانــات غيــر صحيحــة
بقصــد الحصــول علــى مزايــا مــن أي نــوع أ و ا الشــتراك
فــي ذلــك.","خصم عشرة
أيام من الراتب
ا ألسا�سي","الوقف عن العمل ملدة
شهر بدون راتب شامل",إحالة إلى لجنة ا النضباط الوظيفي.
"7- الســماح ملوظــف غيــر مكلــف بالقيــام بالعمــل
ً
بــدال مــن الشــخص املكلــف بــه دون إ ذن ســابق مــن
الرئيــس املباشــر.","خصم خمسة
أيام من الراتب
ا ألسا�سي","خصم عشرة أيام من
الراتب ا ألسا�سي",إحالة إلى لجنة ا النضباط الوظيفي
8- ا إلسراف في استهالك الخامات أ و ا ألدوات. *,"خصم خمسة
أيام من الراتب
ا ألسا�سي","خصم عشرة أيام من
الراتب ا ألسا�سي","ً
خصم خمسة عشر يوما من الراتب
ا ألسا�سي"
"9- ا إلهمــال أ و التقصيــر فــي املحافظــة علــى ا آلالت
و ا ألدوات الخاصــة بالعمــل أ و أي ممتلــكات أخــرى
للجهــة الحكوميــة بمــا يــؤدي إلــى فقدهــا أ و تلفهــا.","خصم خمسة
أيام من الراتب
ا ألسا�سي","خصم عشرة أيام من
الراتب ا ألسا�سي","ً
خصم خمسة عشر يوما من الراتب
ا ألسا�سي"
,,,مع حق الجهة الحكومية في استيفاء قيمة ما تم فقده أ و تكاليف التلف أ و الضرر
"10- رفــض التفتيــش عنــد ا النصــراف أ ذا كان
املوظــف ممــن يخضــع لذلــك.","خصم خمسة
أيام من الراتب
ا ألسا�سي","ً
خصم خمسة عشر يوما
من الراتب ا ألسا�سي",إحالة إلى لجنة ا النضباط الوظيفي
"11- رفــض املوظــف بــدون مبــرر العمــل املــوكل إليــه
ً
بشــرط أ ال يختلــف جوهريــا عــن عملــه ا ألصلــي أ و
عــدم تنفيــذ أمــر النقــل الصــا در إليــه.",,,إحالة إلى لجنة ا النضباط الوظيفي
