,الملحق رقم )١/أ(,رقم الصفحة
١,جدول رقم )1( بشأن درجة الرئيس,1
٢,جدول رقم )2( بشأن درجات المدير العام و المدير,1
3,جدول رقم )3( بشان الدرجات والوظائف العامة للمواطنين,2
4,"جدول رقم )4( بشأن المؤهالت العلمية والخبرات العملية لشغل الوظائف العامة
للمواطنين",3
٥,جدول رقم )5( بشأن الدرجات والوظائف العامة لغير المواطنين,4
٦,"جدول رقم )6( بشأن المؤهالت العلمية والخبرات العملية المطلوبة لتعيين غير
المواطنين",5
7,جدول رقم )7( بشأن درجات وظائف المهندسين,6
8,"جدول رقم ) 8 ( بشأن المؤهالت العلمية والخبرات العملية للتعيين على نظام
وظائف المهندسين",7
9,"جدول رقم )9( بشأن درجات ورواتب ا ألئمة والمؤذنين ) المواطنين ( العاملين
على المالك المحلي بحكومة الشا رقة",8
١٠,"جدول رقم )10( بشأن درجات ورواتب ا ألئمة والمؤذنين ) غير المواطنين ( العاملين
على المالك المحلي بحكومة الشا رقة",8
١١,"جدول رقم )11( بشأن المسميات الوظيفية والمؤهالت العلمية والخبرات العملية
والعالوة الفنية للعاملين على نظام وظائف ا ألطباء والصيا دلة وفنيي الطب",15-9
١٢,جدول رقم )12( بشأن درجات ووظائف ا ألطباء والصيا دلة وفنيي الطب )مواطنين(,16
١3,"جدول رقم )13( بشأن المؤهالت العلمية والخبرات العملية لشغل وظائف ا ألطباء
والصيا دلة وفنيي الطب )مواطنين(",17
١4,"جدول رقم )14( بشأن درجات ووظائف ا ألطباء والصيا دلة وفنيي الطب )غير
مواطنين(",18
١٥,"جدول رقم )15( بشأن المؤهالت العلمية و الخبرات العملية لشغل وظائف ا ألطباء
و الصيا دلة وفنيي الطب )غير مواطنين(",19
١٦,الجدول رقم )16( بشأن التعيين على نظام العقد الخاص )أ( و )ب(,20
١7,"جدول رقم )17( بشأن الفئات والخبرات لغير المواطنين العاملين بنظام المكافأ ة
الشهرية",21
١8,جدول رقم )18( بشأن نظام العقد المؤقت ) أ ( الخاص بغير المواطنين,22
١9,جدول رقم )19( بشأن نظام العقد المؤقت ) ب ( الخاص بالمواطنين,23
٢٠,جدول رقم )20( بشأن بدل المهام الرسمية وتذاكر السفر,24
٢١,جدول رقم )21( ِبشأن بدل ا إليفا د في دورات تدريبية وتذاكر السفر,25
٢٢,الجدول رقم )22( بشأن الدرجات المقررة للمؤهالت العلمية,26
٢3,"الجدول رقم )23( بشأن درجات وظائف المهندسين وما يقابلها من درجات نظام
الوظائف العامة",26
٢4,جدول رقم )24( بشأن المخالفات والجزاءات,27-35
