الرقم,الملحق رقم )١/ج(,رقم الصفحة
١,نموذج أقرا ر رقم )1( بشأن مباشرة العمل,84
٢,نموذج أقرا ر رقم )2( بشأن قبول الوظيفة,85
3,نموذج أقرا ر رقم )3( بشأن عدم تقاضي معاش تقاعد,86
4,أقرا ر رقم )4( بشأن الحالة ا الجتماعية,87
٥,نموذج رقم )5( بشأن تعهد التأمين الصحي,88
٦,نموذج رقم )6( بشأن استما رة بدء خدمة المؤمن عليه,90
7,نموذج رقم )7( بشأن رسالة التعيين / رسالة الترشيح للتعيين,91
8,نموذج رقم )8( بشأن تقرير الكفاءة الشهري الخاص بفترة ا الختبا ر,92
9,نموذج رقم )8/أ( بشأن تقرير الكفاءة الشهري الخاص بفترة ا الختبا ر,94
١٠,نموذج التعهد رقم )9( بشأن الدورات التدريبية داخل الدولة أ و خا رجها,96
١١,نموذج استما رة رقم )10( بشأن طلب إجا زة,97
١٢,نموذج رقم )11( بشأن طلب إجا زة مرافق مريض داخل الدولة,98
١3,"نموذج التعهد رقم )12-أ( بشأن إجا زة التفرغ الكلي لمتابعة الدراسات
العليا خا رج الدولة",99
١4,"نموذج التعهد رقم )12-ب( بشأن إجا زة التفرغ الجزئي لمتابعة الدراسات
العليا خا رج الدولة",100
١٥,"نموذج استما رة رقم )13( بشأن التظلم أ و الشكوى للجنة التظلمات في
الجهة الحكومية",101
١٦,"نموذج استما رة رقم )14( بشأن التظلم أ و الشكوى للجنة العليا للموا رد
البشرية",102
١7,نموذج رقم )15( بشأن مقابلة نهاية الخدمة,103
١8,نموذج رقم )16( بشأن استما رة إنتهاء خدمة المؤمن عليه,106
١9,نموذج رقم )17( بشأن اليمين القانونية لموظفي الحكومة,107
