طبيب اخصائي ب,-,-,"6,600","3,575"
تقني سمعيات,بكالورويس + ماجستير,سنة بعد املاجستير,,
تقني تغذية سريرية,"بكالورويس + ماجستير في
مجال التخصص",سنة بعد املاجستير,,
مرشد ا ألمراض الوراثية,"بكالورويس + ماجستير في
مجال التخصص",سنة بعد املاجستير,,
تقني الرنين املغناطي�سي,"بكالوريوس في مجال
التصوير الطبي + دراسات
عليا مدة سنة في تخصص
الرنين املغناطي�سي",سنة بعد املاجستير,,
تقني طب نووي,"بكالورويس + ماجستير في
مجال التخصص",سنة بعد املاجستير,,
عالم سريري,"بكالورويس + ماجستير في
مجال التخصص",سنة بعد املاجستير,,
تقني الفيزياء الطبية,"بكالورويس + ماجستير في
مجال التخصص",سنة بعد املاجستير,,
صيدلي سريري,"بكالورويس في مجال
التخصص + مؤهل عالي
)ماجستير أ و دكتوراه(",سنة بعد املاجستير,,
أخصائي علم النفس,"بكالورويس + ماجستير في
مجال التخصص",سنة بعد املاجستير,,
أخصائي خدمة إجتماعية,"بكالورويس + ماجستير في
مجال التخصص",سنة بعد املاجستير,,
تقني علم السموم,"بكالورويس في املجال الطبي
+ ماجستير في علم السموم",سنة بعد املاجستير,,
فني طب أخصائي أ,-,-,"3,600","1,705"
فني طب أخصائي ب,-,-,"2,600",605
طبيب مما رس عام,-,-,"4,200","2,145"
طبيب مبتدئ,-,-,"2,600","1,256"
طبيب امتيا ز,-,-,"1,800","1,045"
فني طب مما رس مبتدئ,-,-,"2,200","2,475"
"تقني تخدير املسمى
السابق)فني طب مبتدئ(",بكالورويس تخدير,سنة,,
"تقني علم ا ألجنة املسمى
السابق)فني طب مبتدئ(","بكالوريوس املختبرات أ و
العلوم التطبيقية",سنة,,
"تقني سمعيات املسمى
السابق)فني طب مبتدئ(",بكالوريوس سمعيات,سنة,,
"تقني عمليات القلب املسمى
السابق)فني طب مبتدئ(","بكالوريوس علوم صحية +
دراسات عليا أ و دبلوم سنة
في نفس املجال",سنة,,
"تقني تخطيط القلب املسمى
السابق)فني طب مبتدئ(","بكالوريوس علوم صحية +
تدريب في نفس التخصص",سنة,,
"تقني تصوير القلب املسمى
السابق)فني طب مبتدئ(","بكالوريوس علوم صحية +
تدريب في نفس التخصص",سنة,,
"تقني ا ألوعية الدموية املسمى
السابق)فني طب مبتدئ(","بكالوريوس علوم صحية +
تدريب في نفس التخصص",سنة,,
"تقني تغذية سريرية املسمى
السابق)فني طب مبتدئ(","بكالوريوس في مجال
التخصص",سنة,,
