"املسمى الوظيفي حسب تقييم
الجهة الطبية املختصة",املؤهل العلمي املطلوب,الخبرة العملية املطلوبة,,العالوة الفنية
طبيب استشا ري أ,-,-,مواطن,غير مواطن
عالم سريري,"بكالورويس + ماجستير +
دكتوراه في مجال التخصص","عشر سنوات بعد
املاجستير","22,400","16,214"
صيدلي سريري,"بكالورويس في مجال
التخصص + مؤهل عالي
)ماجسيتر أ و دكتوراه(","عشر سنوات بعد
املاجستير",,
أخصائي علم النفس,"بكالورويس + ماجسيتر
+ دكتوراه في مجال
التخصص","عشر سنوات بعد
املاجستير",,
طبيب استشا ري ب,-,-,,
عالم سريري,"بكالورويس + ماجستير +
دكتوراه في مجال التخصص","خمس سنوات بعد
الدكتوراه","20,400","14,014"
صيدلي سريري,"بكالورويس في مجال
التخصص + مؤهل عالي
)ماجسيتر أ و دكتوراه(","خمس سنوات بعد
الدكتوراه",,
أخصائي علم النفس,"بكالورويس + ماجسيتر
+ دكتوراه في مجال
التخصص","خمس سنوات بعد
الدكتوراه",,
طبيب اخصائي أ,,,,"6,270"
تقني سمعيات,بكالورويس + ماجستير,ثالث سنوات بعد املاجستير,"10,400",
تقني تغذية سريرية,"بكالورويس + ماجستير في
مجال التخصص",ثالث سنوات بعد املاجستير,,
مرشد ا ألمراض الوراثية,"بكالورويس + ماجستير في
مجال التخصص",ثالث سنوات بعد املاجستير,,
تقني طب نووي,"بكالورويس + ماجستير في
مجال التخصص",ثالث سنوات بعد املاجستير,,
عالم سريري,"بكالورويس + ماجستير في
مجال التخصص",ثالث سنوات بعد املاجستير,,
تقني الفيزياء الطبية,"بكالورويس + ماجستير في
مجال التخصص",ثالث سنوات بعد املاجستير,,
صيدلي سريري,"بكالورويس في مجال
التخصص + مؤهل عالي
)ماجستير أ و دكتوراه(",ثالث سنوات بعد املاجستير,,
أخصائي علم النفس,"بكالورويس + ماجستير في
مجال التخصص",ثالث سنوات بعد املاجستير,,
أخصائي خدمة اجتماعية,"بكالورويس + ماجستير في
مجال التخصص",ثالث سنوات بعد املاجستير,,
تقني علم السموم,"بكالورويس في املجال الطبي
+ ماجستير في علم السموم",ثالث سنوات بعد املاجستير,,
فني طب استشا ري أ,-,-,"5,400","3,300"
فني طب استشا ري ب,-,-,"4,400","3,300"
رئيس هيئة التمريض,-,-,"5,400","2,200"
