معالج القدمني,"دبلوم ثالث سنوات يف مجال
التخصص",عرش سنوات,,
"تقني ا ألطراف الصناعية
والرتاكيب املقومة","دبلوم ثالث سنوات يف مجال
التخصص",عرش سنوات,,
تقني غسيل كىل,"دبلوم ثالث سنوات يف مجال
التخصص",عرش سنوات,,
فني مسؤول,-,-,"1,400",627
فني تخدير,"دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
مساعد تقني سمعيات,"دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
تقني أشعة,"دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
تقني الرنني املغناطييس,"دبلوم ثالث سنوات يف مجال
الرنني املغناطييس",خمس سنوات,,
تقني طب نووي,"دبلوم ثالث سنوات يف مجال
الطب النووي",خمس سنوات,,
معالج وظيفي,"دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
معالج القدمني,"دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
"تقني ا ألطراف الصناعية
والرتاكيب املقومة","دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
تقني غسيل كىل,"دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
فني مؤهل,-,-,"1,400",308
فني تخدير,"دبلوم ثالث سنوات يف مجال
التخصص",سنة,,
مساعد تقني سمعيات,"دبلوم ثالث سنوات يف مجال
التخصص",سنة,,
تقني أشعة,"دبلوم ثالث سنوات يف مجال
التخصص",سنة,,
تقني الرنني املغناطييس,"دبلوم ثالث سنوات يف مجال
الرنني املغناطييس",سنة,,
تقني طب نووي,"دبلوم ثالث سنوات يف مجال
الطب النووي",سنة,,
معالج وظيفي,"دبلوم ثالث سنوات يف مجال
التخصص",سنة,,
معالج القدمني,"دبلوم ثالث سنوات يف مجال
التخصص",سنة,,
"تقني ا ألطراف الصناعية
والرتاكيب املقومة","دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
تقني غسيل كىل,"دبلوم ثالث سنوات يف مجال
التخصص",خمس سنوات,,
مساعد فني أ,-,-,"1,400",
فني تخدير,"دبلوم سنتني يف مجال
التخصص",سنة,,
مساعد تقني سمعيات,دبلوم اليقل سنتني,سنة,,
