ﻼﻔﺋﺓ,ﻡﺩﺓ ﻼﺨﺑﺭﺓ,"ﺎﻤﻟﺆﻬﻟ
ﻼﻌﻠﻤﻳ",,ﺎﻤﻠﻛﺎﻓﺂﺗ ﻼﺸﻫﺮﻳﺓ,"ﻼﻋﻻﻭﺓ
ﻼﺘﻜﻤﻴﻠﻳﺓ","ﻖﻴﻣﺓ
ﻻﺰﻳﺍﺩﺓ
ﻼﺴﻧﻮﻳﺓ",ﺏﺪﻟ ﺍﻼﻨﺘﻗﻻ,ﺍﻺﺟﺍﺯﺓ ﻻﺩﻭﺮﻳﺓ,"ﻡﺩﺓ ﻼﺒﻗﺍﺀ ﻒﻳ
ﻼﻔﺋﺓ"
,"ﻼﺣﺩ ﺍﻷﺪﻨﯨ
)ﻼﺴﻧﻭﺎﺗ(",,ﻢﻧ,ﻺﯨ,,,,,
ﺍﻷﻮﻠﯨ,14,ﺪﻜﺗﻭﺭﺎﻫ,"10,914","12,870",-,218,"1,528",45 ﻱﻮﻣ,6 ﺲﻧﻭﺎﺗ
ﻼﺛﺎﻨﻳﺓ,10,-,"9,095","10,914",-,182,"1,273",,
ﻼﺛﻼﺛﺓ,8,ﻡﺎﺠﺴﺘﻳﺭ,"7,579","9,095",-,152,"1,062",,
ﻻﺭﺎﺒﻋﺓ,6,ﺐﻛﻻﻭﺮﻳﻮﺳ,"6,367","7,579",-,127,891,,
ﻼﺧﺎﻤﺳﺓ,7,ﺙﺎﻧﻮﻳﺓ,"5,305","6,367",-,106,743,30 ﻱﻮﻣ,
ﻼﺳﺍﺪﺳﺓ,6,,"4,396","5,305",-,88,615,,
ﻼﺳﺎﺒﻋﺓ,5,,"3,700","4,396",-,73,509,,
ﻼﺛﺎﻤﻧﺓ,-,"ﺄﻘﻟ ﻢﻧ
ﻼﺛﺎﻧﻮﻳﺓ","3,143","3,638",52,61,629,,
ﻼﺗﺎﺴﻋﺓ,-,,"2,714","3,043",151,52,629,,
ﻼﻋﺎﺷﺭﺓ,-,,"2,285","2,614",250,44,629,,
"ﻼﺣﺍﺪﻳﺓ
ﻊﺷﺭﺓ",-,,"1,856","2,185",349,35,629,,
"ﻼﺛﺎﻨﻳﺓ
ﻊﺷﺭﺓ",-,,"1,398","1,756",431,30,629,,
"ﻼﺛﻼﺛﺓ
ﻊﺷﺭﺓ",-,,"1,327","1,398",-,-,498,21 ﻱﻮﻣ,
"ﻻﺭﺎﺒﻋﺓ
ﻊﺷﺭﺓ",-,,"1,206","1,327",-,-,443,,
