ﻻﺮﻘﻣ,ﻼﻤﻠﺤﻗ ﺮﻘﻣ )١/ﺝ(,ﺮﻘﻣ ﻼﺼﻔﺣﺓ
١,ﻦﻣﻭﺬﺟ ﺄﻗﺭﺍﺭ ﺮﻘﻣ )1( ﺐﺷﺄﻧ ﻢﺑﺎﺷﺭﺓ ﻼﻌﻤﻟ,84
٢,ﻦﻣﻭﺬﺟ ﺄﻗﺭﺍﺭ ﺮﻘﻣ )2( ﺐﺷﺄﻧ ﻖﺑﻮﻟ ﻻﻮﻈﻴﻓﺓ,85
3,ﻦﻣﻭﺬﺟ ﺄﻗﺭﺍﺭ ﺮﻘﻣ )3( ﺐﺷﺄﻧ ﻉﺪﻣ ﺖﻗﺎﻀﻳ ﻢﻋﺎﺷ ﺖﻗﺎﻋﺩ,86
4,ﺄﻗﺭﺍﺭ ﺮﻘﻣ )4( ﺐﺷﺄﻧ ﻼﺣﻻﺓ ﺍﻼﺠﺘﻣﺎﻌﻳﺓ,87
٥,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )5( ﺐﺷﺄﻧ ﺖﻌﻫﺩ ﻼﺗﺄﻤﻴﻧ ﻼﺼﺤﻳ,88
٦,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )6( ﺐﺷﺄﻧ ﺎﺴﺘﻣﺍﺭﺓ ﺏﺩﺀ ﺥﺪﻣﺓ ﻼﻣﺆﻤﻧ ﻊﻠﻴﻫ,90
7,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )7( ﺐﺷﺄﻧ ﺮﺳﻻﺓ ﻼﺘﻌﻴﻴﻧ / ﺮﺳﻻﺓ ﻼﺗﺮﺸﻴﺣ ﻞﻠﺘﻌﻴﻴﻧ,91
8,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )8( ﺐﺷﺄﻧ ﺖﻗﺮﻳﺭ ﻼﻜﻓﺍﺀﺓ ﻼﺸﻫﺮﻳ ﻼﺧﺎﺻ ﺐﻔﺗﺭﺓ ﺍﻼﺨﺘﺑﺍﺭ,92
9,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )8/ﺃ( ﺐﺷﺄﻧ ﺖﻗﺮﻳﺭ ﻼﻜﻓﺍﺀﺓ ﻼﺸﻫﺮﻳ ﻼﺧﺎﺻ ﺐﻔﺗﺭﺓ ﺍﻼﺨﺘﺑﺍﺭ,94
١٠,ﻦﻣﻭﺬﺟ ﻼﺘﻌﻫﺩ ﺮﻘﻣ )9( ﺐﺷﺄﻧ ﻻﺩﻭﺭﺎﺗ ﻼﺗﺩﺮﻴﺒﻳﺓ ﺩﺎﺨﻟ ﻻﺩﻮﻟﺓ ﺃﻭ ﺥﺍﺮﺠﻫﺍ,96
١١,ﻦﻣﻭﺬﺟ ﺎﺴﺘﻣﺍﺭﺓ ﺮﻘﻣ )10( ﺐﺷﺄﻧ ﻂﻠﺑ ﺈﺟﺍﺯﺓ,97
١٢,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )11( ﺐﺷﺄﻧ ﻂﻠﺑ ﺈﺟﺍﺯﺓ ﻡﺭﺎﻔﻗ ﻡﺮﻴﺿ ﺩﺎﺨﻟ ﻻﺩﻮﻟﺓ,98
