ﻻﺮﻘﻣ,ﻼﻤﻠﺤﻗ ﺮﻘﻣ )١/ﺏ(,ﺮﻘﻣ ﻼﺼﻔﺣﺓ
١,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )1( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ ﻡﻭﺎﻄﻧ,36
٢,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )2( ﺐﺷﺄﻧ ﺖﻨﻈﻴﻣ ﻉﻼﻗﺓ ﻮﻈﻴﻔﻳﺓ ﻕﺎﺌﻣﺓ ﻢﻋ ﻡﻭﺎﻄﻧ,39
3,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﻢﺤﻠﻳ )ﺃ( ﺮﻘﻣ )3( ﻞﻐﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ,42
4,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﻢﺤﻠﻳ )ﺏ( ﺮﻘﻣ )4( ﻞﻐﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ,45
٥,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )5( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﻢﻬﻧﺪﺴﻴﻧ(,48
٦,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )6( ﺐﺷﺄﻧ ﺖﻨﻈﻴﻣ ﻉﻼﻗﺓ ﻮﻈﻴﻔﻳﺓ ﻕﺎﺌﻣﺓ ﻢﻋ ﻢﻬﻧﺪﺳ ﻡﻭﺎﻄﻧ,51
7,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )7( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﺍﻸﺌﻣﺓ ﻭﻼﻣﺅﺬﻨﻴﻧ ﻼﻣﻭﺎﻄﻨﻴﻧ(,45
8,"ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )8( ﺐﺷﺄﻧ ﺖﻨﻈﻴﻣ ﻉﻼﻗﺓ ﻮﻈﻴﻔﻳﺓ ﻕﺎﺌﻣﺓ ﻢﻋ ﺄﻣﺎﻣ ﺃﻭ ﻡﺅﺬﻧ
ﻡﻭﺎﻄﻧ",57
9,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )9( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﺍﻸﺌﻣﺓ ﻭﻼﻣﺅﺬﻨﻴﻧ ﻎﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ(,60
١٠,"ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )10( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﺍﻸﻄﺑﺍﺀ ﻭﻼﺼﻳﺍﺪﻟﺓ ﻮﻔﻨﻴﻳ ﻼﻄﺑ
ﻼﻣﻭﺎﻄﻨﻴﻧ(",63
١١,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )11( ﺐﺷﺄﻧ ﺖﻨﻈﻴﻣ ﻉﻼﻗﺓ ﻮﻈﻴﻔﻳﺓ ﻕﺎﺌﻣﺓ ﻢﻋ ﻡﻭﺎﻄﻧ,66
١٢,"ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )12( ﺐﺷﺄﻧ ﺕﻮﻈﻴﻓ )ﺍﻸﻄﺑﺍﺀ ﻭﻼﺼﻳﺍﺪﻟﺓ ﻮﻔﻨﻴﻳ ﻼﻄﺑ ﻎﻳﺭ
ﻼﻣﻭﺎﻄﻨﻴﻧ(",69
١3,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )13( ﺐﺷﺄﻧ ﻦﻇﺎﻣ ﻼﻌﻗﺩ ﻼﺧﺎﺻ ) ﺃ ( ﻡﻭﺎﻄﻨﻴﻧ,72
١4,ﻦﻣﻭﺬﺟ ﻊﻗﺩ ﺮﻘﻣ )14( ﺐﺷﺄﻧ ﻦﻇﺎﻣ ﻼﻌﻗﺩ ﻼﺧﺎﺻ ) ﺏ ( ﻎﻳﺭ ﻡﻭﺎﻄﻨﻴﻧ,74
١٥,"ﻦﻣﻭﺬﺟ ﻼﻌﻗﺩ ﺮﻘﻣ )15( ﺐﺷﺄﻧ ﺎﺴﺘﺧﺩﺎﻣ ﻎﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ ﻼﻋﺎﻤﻠﻴﻧ ﺐﻨﻇﺎﻣ ﻼﻤﻛﺎﻓﺃﺓ
ﻼﺸﻫﺮﻳﺓ",76
١٦,ﻦﻣﻭﺬﺟ ﻼﻌﻗﺩ ﺮﻘﻣ )16( ﺐﺷﺄﻧ ﻼﺘﻌﻴﻴﻧ ﺐﻌﻗﺩ ﻡﺆﻘﺗ ) ﺃ (,78
١7,ﻦﻣﻭﺬﺟ ﻼﻌﻗﺩ ﺮﻘﻣ )17( ﺐﺷﺄﻧ ﻼﺘﻌﻴﻴﻧ ﺐﻌﻗﺩ ﻡﺆﻘﺗ )ﺏ(,80
١8,ﻦﻣﻭﺬﺟ ﻼﻌﻗﺩ ﺮﻘﻣ )18( ﺐﺷﺄﻧ ﻼﺘﻌﻴﻴﻧ ﺐﻌﻗﺩ ﻡﺆﻘﺗ )ﺏ( ﺥﺎﺻ ﺏﻼﻤﺘﻗﺎﻋﺪﻴﻧ,82
