ﻂﺒﻴﺑ ﺎﺨﺻﺎﺌﻳ ﺏ,-,-,"6,600","3,575"
ﺖﻘﻨﻳ ﺲﻤﻌﻳﺎﺗ,ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺖﻘﻨﻳ ﺖﻏﺬﻳﺓ ﺱﺮﻳﺮﻳﺓ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﻡﺮﺷﺩ ﺍﻸﻣﺭﺎﺿ ﻻﻭﺭﺎﺜﻳﺓ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺖﻘﻨﻳ ﻻﺮﻨﻴﻧ ﺎﻤﻠﻐﻧﺎﻄﻳ�ﺲﻳ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺻﻮﻳﺭ ﻼﻄﺒﻳ + ﺩﺭﺎﺳﺎﺗ
ﻊﻠﻳﺍ ﻡﺩﺓ ﺲﻧﺓ ﻒﻳ ﺖﺨﺼﺻ
ﻻﺮﻨﻴﻧ ﺎﻤﻠﻐﻧﺎﻄﻳ�ﺲﻳ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺖﻘﻨﻳ ﻂﺑ ﻥﻭﻮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﻉﻼﻣ ﺱﺮﻳﺮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺖﻘﻨﻳ ﻼﻔﻳﺰﻳﺍﺀ ﻼﻄﺒﻳﺓ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺺﻳﺪﻠﻳ ﺱﺮﻳﺮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﻡﺆﻬﻟ ﻉﻼﻳ
)ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ(",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺄﺨﺻﺎﺌﻳ ﻊﻠﻣ ﻼﻨﻔﺳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺄﺨﺻﺎﺌﻳ ﺥﺪﻣﺓ ﺈﺠﺘﻣﺎﻌﻳﺓ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺖﻘﻨﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﺎﻤﻠﺟﻻ ﻼﻄﺒﻳ
+ ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ",ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﻒﻨﻳ ﻂﺑ ﺄﺨﺻﺎﺌﻳ ﺃ,-,-,"3,600","1,705"
ﻒﻨﻳ ﻂﺑ ﺄﺨﺻﺎﺌﻳ ﺏ,-,-,"2,600",605
ﻂﺒﻴﺑ ﻢﻣﺍﺮﺳ ﻉﺎﻣ,-,-,"4,200","2,145"
