"ﺎﻤﻠﺴﻤﯨ ﻻﻮﻈﻴﻔﻳ ﺢﺴﺑ ﺖﻘﻴﻴﻣ
ﻼﺠﻫﺓ ﻼﻄﺒﻳﺓ ﺎﻤﻠﺨﺘﺻﺓ",ﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ ﺎﻤﻠﻄﻟﻮﺑ,ﻼﺨﺑﺭﺓ ﻼﻌﻤﻠﻳﺓ ﺎﻤﻠﻄﻟﻮﺑﺓ,,ﻼﻋﻻﻭﺓ ﻼﻔﻨﻳﺓ
ﻂﺒﻴﺑ ﺎﺴﺘﺷﺍﺮﻳ ﺃ,-,-,ﻡﻭﺎﻄﻧ,ﻎﻳﺭ ﻡﻭﺎﻄﻧ
ﻉﻼﻣ ﺱﺮﻳﺮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ +
ﺪﻜﺗﻭﺭﺎﻫ ﻒﻳ ﻢﺟﻻ ﻼﺘﺨﺼﺻ","ﻊﺷﺭ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﺎﻤﻟﺎﺠﺴﺘﻳﺭ","22,400","16,214"
ﺺﻳﺪﻠﻳ ﺱﺮﻳﺮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﻡﺆﻬﻟ ﻉﻼﻳ
)ﻡﺎﺠﺴﻴﺗﺭ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ(","ﻊﺷﺭ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﺎﻤﻟﺎﺠﺴﺘﻳﺭ",,
ﺄﺨﺻﺎﺌﻳ ﻊﻠﻣ ﻼﻨﻔﺳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﻴﺗﺭ
+ ﺪﻜﺗﻭﺭﺎﻫ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﻊﺷﺭ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﺎﻤﻟﺎﺠﺴﺘﻳﺭ",,
ﻂﺒﻴﺑ ﺎﺴﺘﺷﺍﺮﻳ ﺏ,-,-,,
ﻉﻼﻣ ﺱﺮﻳﺮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ +
ﺪﻜﺗﻭﺭﺎﻫ ﻒﻳ ﻢﺟﻻ ﻼﺘﺨﺼﺻ","ﺦﻤﺳ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﻻﺪﻜﺗﻭﺭﺎﻫ","20,400","14,014"
ﺺﻳﺪﻠﻳ ﺱﺮﻳﺮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﻡﺆﻬﻟ ﻉﻼﻳ
)ﻡﺎﺠﺴﻴﺗﺭ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ(","ﺦﻤﺳ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﻻﺪﻜﺗﻭﺭﺎﻫ",,
ﺄﺨﺻﺎﺌﻳ ﻊﻠﻣ ﻼﻨﻔﺳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﻴﺗﺭ
+ ﺪﻜﺗﻭﺭﺎﻫ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﺦﻤﺳ ﺲﻧﻭﺎﺗ ﺐﻋﺩ
ﻻﺪﻜﺗﻭﺭﺎﻫ",,
ﻂﺒﻴﺑ ﺎﺨﺻﺎﺌﻳ ﺃ,,,,"6,270"
ﺖﻘﻨﻳ ﺲﻤﻌﻳﺎﺗ,ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"10,400",
ﺖﻘﻨﻳ ﺖﻏﺬﻳﺓ ﺱﺮﻳﺮﻳﺓ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
